solution,title,source,url
Buy only climate-friendly,World's first climate-friendly ice cream',Food Navigator,https://www.foodnavigator.com/Article/2023/08/24/world-s-first-climate-friendly-ice-cream-made-with-milk-from-cows-eating-methane-reducing-ruminant-feed
Buy only climate-friendly,Volta Greentech and Protos launch next phase of climate-friendly beef project in Sweden,Feed Navigator,https://www.feednavigator.com/Article/2023/06/07/Volta-Greentech-and-Protos-launch-next-phase-of-climate-friendly-beef-project-in-Sweden
Buy only climate-friendly,Focus: Fertilizer company OCI bets big on climate-friendly ammonia,Reuters,https://www.reuters.com/sustainability/fertilizer-company-oci-bets-big-climate-friendly-ammonia-2023-07-10/
Buy only climate-neutral,Siemens' climate-neutral campus in Zug,Siemens press,https://press.siemens.com/global/en/pressrelease/siemens-climate-neutral-campus-zug-highlights-investment-excellence-and-switzerland
Buy only climate-neutral,Reaction: Apple unveils its first carbon neutral products,NewClimate Institute,https://newclimate.org/news/reaction-apple-unveils-its-first-carbon-neutral-products
Buy only climate-neutral,The EU Plans To Ban 'Climate Neutral' Claims By 2026,Carbon Herald,https://carbonherald.com/the-eu-plans-to-ban-climate-neutral-claims-by-2026/
Buy only climate-neutral,CO2-Neutral Industrial Parks,CHEManager,https://www.chemanager-online.com/en/news/co2-neutral-industrial-parks
Buy only climate-neutral,Companies need to re-assess the way they communicate about their purchase of carbon credits,Food Navigator,https://www.foodnavigator.com/Article/2023/09/21/Companies-need-to-re-assess-the-way-they-communicate-about-their-purchase-of-carbon-credits-EU-agrees-ban-on-climate-neutral-claims-by-2026
Buy only climate-neutral,"Carbon neutrality is harder than you think, but it’s worth it",The Hill,https://thehill.com/opinion/energy-environment/4300205-carbon-neutrality-is-harder-than-you-think-but-its-worth-it/
Follow Innovation,Why tech innovation isn't the only solution to the climate crisis,Business Insider,https://www.businessinsider.com/tech-innovation-not-only-solution-to-climate-crisis-2023-7?r=US&IR=T
Follow Innovation,Unleashing Climate Innovation Through Powerful Partnerships,The Rockefeller Foundation,https://www.rockefellerfoundation.org/matter-of-impact/unleashing-climate-innovation-through-powerful-partnerships/
Follow Innovation,Climate Tech: Bridging the Gap Between Innovation and Sustainability,Economist Impact,https://impact.economist.com/sustainability/climate-tech-bridging-the-gap-between-innovation-and-sustainability
Follow Innovation,"Innovation is key to combat climate change, Bill Gates says",NY1,https://ny1.com/nyc/all-boroughs/environment/2023/09/21/bill-gates-climate-innovation
Follow Innovation,Social Entrepreneurs Tackle Climate Change and the Future of Food,Wharton Global Youth Program,https://globalyouth.wharton.upenn.edu/articles/entrepreneurs-leaders/social-entrepreneurs-tackle-climate-change-and-the-future-of-food/
Follow Innovation,Regions4Climate to test innovative solutions for climate change adaptation,Stockholm Environment Institute,https://www.sei.org/features/regions4climate-adapt-climate-change/
Innovate yourself,Biodiversity time machine': Using AI analysis to uncover a century of climate change,Innovation News Network,https://www.innovationnewsnetwork.com/biodiversity-time-machine-using-ai-analysis-uncover-century-of-climate-change/39456/
Innovate yourself,Kristen Schepel: Changing the climate for innovation,NOAA Research,https://research.noaa.gov/2023/10/24/kristen-schepel-changing-the-climate-for-innovation/
Innovate yourself,Boosting innovation and investments through carbon pricing,Language selection | Climate Action,https://climate.ec.europa.eu/news-your-voice/events/boosting-innovation-and-investments-through-carbon-pricing-2023-06-22_en
Innovate yourself,Can innovation help farmers adapt to climate change?,POLITICO.eu,https://www.politico.eu/sponsored-content/can-innovation-help-farmers-adapt-to-climate-change/
Innovate yourself,Top UN forum taps technology and innovation for climate action,unctad,https://unctad.org/news/top-un-forum-taps-technology-and-innovation-climate-action
Innovate yourself,Innovation exceeds fear of climate change in Greenland,Nature,https://www.nature.com/articles/s41558-023-01714-4
Support Innovation,How Green Innovation Can Stimulate Economies and Curb Emissions,International Monetary Fund,https://www.latimes.com/opinion/story/2023-06-01/hospitals-climate-change-fossil-fuels-divestment
Support Innovation,"Frugal innovation' and 'boring solutions' can best accelerate climate action, say experts",Eco-Business,https://www.eco-business.com/news/frugal-innovation-and-boring-solutions-can-best-accelerate-climate-action-say-experts/
Support Innovation,"Guest Article: Tech, Innovation to Tackle Climate Crisis; Secure Water, Energy, Food | SDG Knowledge Hub",SDG Knowledge Hub,https://sdg.iisd.org/commentary/guest-articles/tech-innovation-to-tackle-climate-crisis-secure-water-energy-food/
Support Innovation,WFF: Implementing the FAO Science and Innovation Strategy and the Strategy on Climate Change in synergy,UN Web TV,https://media.un.org/en/asset/k19/k19k5rgt7p
Support Innovation,WIPO's Green Technology Book: What You Can Do to Tackle Climate Change,WIPO,https://www.wipo.int/wipo_magazine_digital/en/2023/article_0026.html
Support Innovation,Let's Meet The Urgency Of Climate Change With A Climate Of Innovation,Farmers Review Africa,https://farmersreviewafrica.com/lets-meet-the-urgency-of-climate-change-with-a-climate-of-innovation-in-agriculture/
Green Finances,European Environment Agency,Sustainable finance,https://www.eea.europa.eu/en/topics/in-depth/sustainable-finance
Green Finances,Commonwealth Central Bank Governors meet in Marrakesh to enhance green finance,Commonwealth Secretariat,https://thecommonwealth.org/news/commonwealth-central-bank-governors-meet-marrakesh-enhance-green-finance-and-address-climate
Green Finances,Green money: how your finances can help the planet,The Guardian,https://www.theguardian.com/money/2022/feb/07/green-money-how-your-finances-can-help-the-planet
Green Finances,Demand Rises For Tokenized Green Finance,Global Finance Magazine,https://gfmag.com/sustainable-finance/demand-rises-for-tokenized-green-finance/
Green Finances,Can carbon markets solve Africa's climate finance woes?,Mongabay,https://news.mongabay.com/2023/11/can-carbon-markets-solve-africas-climate-finance-woes/
Green Finances,Event: OECD Forum on Green Finance,SDG Knowledge Hub,https://sdg.iisd.org/events/oecd-forum-on-green-finance-and-investment-2023/
Green Investmets,"Earth Day Puts Focus on 'Green' Investment, Sustainability",VOA News,https://www.voanews.com/a/earth-day-puts-focus-on-green-investment-sustainability-/7060075.html
Green Investmets,"Climate Change: BoI, Partners Seek Greater Commitment, Funding for Green Investments",THISDAYLIVE,https://www.thisdaylive.com/index.php/2023/11/10/climate-change-boi-partners-seek-greater-commitment-funding-for-green-investments
Green Investmets,"China's Green Surge, Climate Dads and More Good News",Bloomberg.com,https://www.bloomberg.com/news/articles/2023-10-16/china-s-green-surge-climate-dads-and-more-good-news
Green Investmets,Spain's energy minister urges sovereign funds to lead green investments,Reuters,https://www.reuters.com/sustainability/sustainable-finance-reporting/spains-energy-minister-urges-sovereign-funds-lead-green-investments-2023-09-25/
Green Investmets,EU taxonomy: Green investments to boost sustainable finance,EU Reporter,https://www.eureporter.co/politics/european-parliament-2/2023/11/07/eu-taxonomy-green-investments-to-boost-sustainable-finance-2/#google_vignette
Green Investmets,Investing in the Green Revolution,Euronews.com,https://www.euronews.com/business/2023/05/24/investing-in-the-green-revolution
No (Fossil) Investments,Fossil Fuels Are Still Destroying the Planet. This Treaty Aims to Change That.,Global Citizen,https://www.globalcitizen.org/en/content/fossil-fuels-non-proliferation-treaty-explained/
No (Fossil) Investments,"Study reveals G20 nations increased fossil fuel investments in 2022, defying climate goals",Mongabay-India,https://india.mongabay.com/2023/09/study-reveals-g20-nations-increased-fossil-fuel-investments-in-2022-defying-climate-goals/
No (Fossil) Investments,Guterres calls for phasing out fossil fuels to avoid climate 'catastrophe',UN News,https://news.un.org/en/story/2023/06/1137747
No (Fossil) Investments,Is now the time to divest your pension from fossil fuels?,The Times,https://www.latimes.com/opinion/story/2023-06-01/hospitals-climate-change-fossil-fuels-divestment
No (Fossil) Investments,Cover story: Why are banks still financing fossil fuels?,The Banker,https://www.thebanker.com/Cover-story-Why-are-banks-still-financing-fossil-fuels-1696231243
No (Fossil) Investments,Opinion: Why the fossil fuel divestment movement should reach hospitals,Los Angeles Times,https://www.latimes.com/opinion/story/2023-06-01/hospitals-climate-change-fossil-fuels-divestment
Leave Half to Nature,Scientists call for a Paris-style agreement to save life on Earth,The Guardian,https://www.theguardian.com/environment/radical-conservation/2018/jun/28/scientists-call-for-a-paris-style-agreement-to-save-life-on-earth
Leave Half to Nature,Should we set aside half for nature?,The Globe and Mail,https://www.theglobeandmail.com/opinion/should-we-set-aside-half-for-nature/article14843108/
Leave Half to Nature,Nature needs half but natural habitats are vanishing,Earth.com,https://www.earth.com/news/nature-needs-half-but-natural-habitats-are-vanishing/
Leave Half to Nature,Half the Earth Relatively Intact From Global Human Influence,SciTechDaily,https://scitechdaily.com/half-the-earth-relatively-intact-from-global-human-influence-clear-opportunities-to-conserve-what-remains/
Leave Half to Nature,Should we give up half of the Earth to wildlife?,The Guardian,https://www.theguardian.com/environment/2018/feb/18/should-we-give-half-planet-earth-wildlife-nature-reserve
Leave Half to Nature,"To ensure a stable planet, 30% of Earth needs protections by 2030",National Geographic,https://www.nationalgeographic.com/environment/article/conservation-groups-call-for-protecting-30-percent-earth-2030
Protect Ecosystems,Advancing Biodiversity-Positive Nature-Based Climate Solutions,International Institute for Sustainable Development,https://www.iisd.org/articles/insight/advancing-biodiversity-positive-nature-based-climate-solutions
Protect Ecosystems,8 nature-based climate solutions that protect our planet,International Fund for Animal Welfare,https://www.ifaw.org/international/journal/nature-based-climate-solutions-protect-planet
Protect Ecosystems,Nature protection and restoration,European Environment Agency,https://www.eea.europa.eu/en/topics/in-depth/nature-protection-and-restoration
Protect Ecosystems,"More action needed to protect freshwater ecosystems, report says",Mongabay,https://news.mongabay.com/2023/10/more-action-needed-to-protect-freshwater-ecosystems-report-says/
Protect Ecosystems,The effectiveness of global protected areas for climate change mitigation,Nature,https://www.nature.com/articles/s41467-023-38073-9
Protect Ecosystems,Climate change challenges marine conservation efforts in Atlantic Canada,The Conversation,https://theconversation.com/climate-change-challenges-marine-conservation-efforts-in-atlantic-canada-211580
Restore Ecosystems,Comment: Why business leaders are calling on the EU to pass the Nature Restoration Law,Reuters,https://www.reuters.com/sustainability/land-use-biodiversity/comment-why-business-leaders-are-calling-eu-pass-nature-restoration-law-2023-06-21/
Restore Ecosystems,State of nature in Europe: Damaged ecosystems need restoration,European Environment Agency,https://www.eea.europa.eu/en/newsroom/news/ecosystems-need-restoration
Restore Ecosystems,The uphill battle to protect Europe's biodiversity,International Fund for Animal Welfare,https://www.ifaw.org/international/journal/uphill-battle-protect-europe-biodiversity
Restore Ecosystems,Nature restoration: Council and Parliament reach agreement,Consilium.europa.eu,https://www.consilium.europa.eu/en/press/press-releases/2023/11/09/nature-restoration-council-and-parliament-reach-agreement-on-new-rules-to-restore-and-preserve-degraded-habitats-in-the-eu/
Restore Ecosystems,EU negotiators agree historic law to restore Europe's nature,EURACTIV.com,https://www.euractiv.com/section/climate-environment/news/eu-negotiators-agree-historic-law-to-restore-europes-nature/
Restore Ecosystems,EU lawmakers pass nature restoration bill in razor-thin vote,DW,https://www.dw.com/en/eu-lawmakers-pass-nature-restoration-bill-in-razor-thin-vote/a-66199587
Electric Car,Electric vehicles,European Environment Agency,https://www.eea.europa.eu/en/topics/in-depth/electric-vehicles
Electric Car,Current Climate: The Best (and Worst) States To Buy An Electric Car,Forbes,https://www.forbes.com/sites/alanohnsman/2023/11/11/current-climate-greenlands-glaciers-are-melting-faster/
Electric Car,"A New Law Supercharged Electric Car Manufacturing, but Not Sales",The New York Times,https://www.nytimes.com/2023/11/08/business/energy-environment/electric-vehicles-biden.html
Electric Car,"Yes, electric vehicles are better for the environment",Vital Signs,https://vitalsigns.edf.org/story/yes-electric-vehicles-are-better-environment-and-answers-more-questions-about-evs
Electric Car,Climate protection: Electric vehicles on the rise locally,My Edmonds News,https://myedmondsnews.com/2023/11/climate-protection-electric-vehicles-on-the-rise-locally/
Electric Car,"Biden's climate law boosts EV leasing, but sales trends remain unchanged ",Investing.com,https://www.investing.com/news/stock-market-news/bidens-climate-law-boosts-ev-leasing-but-sales-trends-remain-unchanged-93CH-3226834
No Car,"Trips on public transport, walking and riding must triple to see genuine transport emissions reduction",Climate Council,https://www.climatecouncil.org.au/resources/trips-on-public-transport-walking-and-riding-must-triple-see-genuine-transport-emissions-reduction/
No Car,Accelerating Sweden's climate action in transportation,Stockholm Environment Institute,https://www.sei.org/perspectives/swedens-transport-climate-action/
No Car,Public and active transport is in decline,Business Green,https://www.businessgreen.com/news-analysis/4119727/public-active-transport-decline-businesses-about
No Car,"Private vehicle usage must be halved to cut emissions, Climate Council says",ABC,https://www.abc.net.au/news/2023-05-22/climate-council-transport-report-more-public-active-transport/102374038
No Car,Climate Council urges Australians to triple bike riding and walking,Bicycle Network,https://bicyclenetwork.com.au/newsroom/2023/05/24/climate-council-urges-australians-to-triple-bike-riding-and-walking/
No Car,Changing how we move: the power of active transport,WSP,https://bicyclenetwork.com.au/newsroom/2023/05/24/climate-council-urges-australians-to-triple-bike-riding-and-walking/
No Flying,The No-Jet Set: They've Given Up Flying to Save the Planet,The New York Times,https://www.vox.com/climate/23922939/airline-united-climate-change-sustainable-fuel-emissions-offset-saf
No Flying,I'm not going to give up on my principles': Meet the Italian scientist fired for refusing to fly,Euronews.com,https://www.euronews.com/green/2023/10/25/im-not-going-to-give-up-on-my-principles-meet-the-italian-scientist-fired-for-refusing-to-
No Flying,The climate change proposal which means you'd never see the Mediterranean again,The Telegraph,https://www.telegraph.co.uk/travel/news/c40-cities-climate-change-proposal-one-flight/
